image_path,image_name,video_id,frame_type,recon_error
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-Ia18bqO-9w_end.jpg,-Ia18bqO-9w_end.jpg,-Ia18bqO-9w,end,0.06358318030834198
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-Ia18bqO-9w_mid.jpg,-Ia18bqO-9w_mid.jpg,-Ia18bqO-9w,mid,0.09371907263994217
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-Ia18bqO-9w_start.jpg,-Ia18bqO-9w_start.jpg,-Ia18bqO-9w,start,0.07491032779216766
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-Ia18bqO-9w_thumbnail.jpg,-Ia18bqO-9w_thumbnail.jpg,-Ia18bqO-9w,thumb,0.06866978108882904
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-KPQu5seIWg_end.jpg,-KPQu5seIWg_end.jpg,-KPQu5seIWg,end,0.0780901312828064
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-KPQu5seIWg_mid.jpg,-KPQu5seIWg_mid.jpg,-KPQu5seIWg,mid,0.1873832643032074
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-KPQu5seIWg_start.jpg,-KPQu5seIWg_start.jpg,-KPQu5seIWg,start,0.12515147030353546
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-KPQu5seIWg_thumbnail.jpg,-KPQu5seIWg_thumbnail.jpg,-KPQu5seIWg,thumb,0.08434667438268661
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-Rm26xRaI5o_end.jpg,-Rm26xRaI5o_end.jpg,-Rm26xRaI5o,end,0.07566744834184647
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-Rm26xRaI5o_mid.jpg,-Rm26xRaI5o_mid.jpg,-Rm26xRaI5o,mid,0.07711154222488403
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-Rm26xRaI5o_start.jpg,-Rm26xRaI5o_start.jpg,-Rm26xRaI5o,start,0.07539603114128113
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-Rm26xRaI5o_thumbnail.jpg,-Rm26xRaI5o_thumbnail.jpg,-Rm26xRaI5o,thumb,0.10923905670642853
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-g4q_IuLC-g_end.jpg,-g4q_IuLC-g_end.jpg,-g4q_IuLC-g,end,0.04754137620329857
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-g4q_IuLC-g_mid.jpg,-g4q_IuLC-g_mid.jpg,-g4q_IuLC-g,mid,0.08770760893821716
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-g4q_IuLC-g_start.jpg,-g4q_IuLC-g_start.jpg,-g4q_IuLC-g,start,0.0760401114821434
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-g4q_IuLC-g_thumbnail.jpg,-g4q_IuLC-g_thumbnail.jpg,-g4q_IuLC-g,thumb,0.0818716287612915
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-kZYxQpy3Ek_end.jpg,-kZYxQpy3Ek_end.jpg,-kZYxQpy3Ek,end,0.06977326422929764
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-kZYxQpy3Ek_mid.jpg,-kZYxQpy3Ek_mid.jpg,-kZYxQpy3Ek,mid,0.07162703573703766
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-kZYxQpy3Ek_start.jpg,-kZYxQpy3Ek_start.jpg,-kZYxQpy3Ek,start,0.06881728023290634
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-kZYxQpy3Ek_thumbnail.jpg,-kZYxQpy3Ek_thumbnail.jpg,-kZYxQpy3Ek,thumb,0.07948625832796097
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-nI_-eWemCg_end.jpg,-nI_-eWemCg_end.jpg,-nI_-eWemCg,end,0.10718615353107452
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-nI_-eWemCg_mid.jpg,-nI_-eWemCg_mid.jpg,-nI_-eWemCg,mid,0.06072450429201126
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-nI_-eWemCg_start.jpg,-nI_-eWemCg_start.jpg,-nI_-eWemCg,start,0.07294756174087524
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-nI_-eWemCg_thumbnail.jpg,-nI_-eWemCg_thumbnail.jpg,-nI_-eWemCg,thumb,0.051615871489048004
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-pittCNrspA_end.jpg,-pittCNrspA_end.jpg,-pittCNrspA,end,0.09837817400693893
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-pittCNrspA_mid.jpg,-pittCNrspA_mid.jpg,-pittCNrspA,mid,0.09588275104761124
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-pittCNrspA_start.jpg,-pittCNrspA_start.jpg,-pittCNrspA,start,0.10096065700054169
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-pittCNrspA_thumbnail.jpg,-pittCNrspA_thumbnail.jpg,-pittCNrspA,thumb,0.12302499264478683
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-rs9HJKnBDk_end.jpg,-rs9HJKnBDk_end.jpg,-rs9HJKnBDk,end,0.08663410693407059
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-rs9HJKnBDk_mid.jpg,-rs9HJKnBDk_mid.jpg,-rs9HJKnBDk,mid,0.08614330738782883
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-rs9HJKnBDk_start.jpg,-rs9HJKnBDk_start.jpg,-rs9HJKnBDk,start,0.10081876069307327
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-rs9HJKnBDk_thumbnail.jpg,-rs9HJKnBDk_thumbnail.jpg,-rs9HJKnBDk,thumb,0.10105981677770615
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-tSSa17_l1g_end.jpg,-tSSa17_l1g_end.jpg,-tSSa17_l1g,end,0.16754409670829773
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-tSSa17_l1g_mid.jpg,-tSSa17_l1g_mid.jpg,-tSSa17_l1g,mid,0.16491539776325226
c:\Users\JC\Desktop\Thesis\week4\Data\Classified_Dataset\Benign\-tSSa17_l1g_start.jpg,-tSSa17_l1g_start.jpg,-tSSa17_l1g,start,0.1662381887435913
